runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
12293.marco.olmo,Marco OLMO,21:06:06,1,Italie,IT,,55-59,H
17.csaba.nemeth,Csaba NEMETH,21:37:32,2,Hongrie,HU,,35-39,H
8288.vincent.delebarre,Vincent DELEBARRE,21:59:29,3,France,FR,,35-39,H
63467.jens.lukas,Jens LUKAS,22:15:15,4,Allemagne,DE,,40-44,H
40206.guillaume.millet,Guillaume MILLET,22:54:11,5,France,FR,,35-39,H
40230.stephane.grivel,Stephane GRIVEL,23:25:06,6,France,FR,,35-39,H
19883.vincent.staub,Vincent STAUB,23:26:38,7,Suisse,CH,,35-39,H
3799.nicolas.mermoud,Nicolas MERMOUD,23:40:36,8,France,FR,,40-44,H
23509.wilfrid.ouledi,Wilfrid OULEDI,23:42:56,9,France,FR,,20-34,H
77356.enric.llonchcasasampera,Enric LLONCH-CASASAMPERA,23:53:02,10,Espagne,ES,,20-34,H
33407.patrice.baud,Patrice BAUD,23:56:43,11,France,FR,,40-44,H
6304.johan.serazin,Johan SERAZIN,24:03:11,12,France,FR,,35-39,H
77357.joseluis-joxelu-.albizuriberistain,Jose-Luis-(Joxelu) ALBIZURI-BERISTAIN,24:07:38,13,Espagne,ES,,40-44,H
77358.stephen.pyke,Stephen PYKE,24:14:20,14,Royaume-Uni,GB,,40-44,H
11460.matthieu.girard,Matthieu GIRARD,24:21:40,15,Suisse,CH,,20-34,H
10684.fabien.hoblea,Fabien HOBLEA,24:27:36,16,France,FR,,40-44,H
40205.michel.cercueil,Michel CERCUEIL,24:27:36,17,France,FR,,20-34,H
9814.guillaume.bernard,Guillaume BERNARD,24:27:36,18,France,FR,,20-34,H
24932.eric.bonnotte,Eric BONNOTTE,24:27:36,19,France,FR,,40-44,H
64652.gerard.bagnoud,Gérard BAGNOUD,24:43:29,20,Suisse,CH,,35-39,H
6602.herve.giraudsauveur,Herve GIRAUD-SAUVEUR,24:55:18,21,France,FR,,35-39,H
7064.daniel.bauer,Daniel BAUER,24:55:40,22,France,FR,,40-44,H
67.francis.pelmont,Francis PELMONT,25:03:44,23,France,FR,,45-49,H
12838.asier.irazabalbasterretxea,Asier IRAZABAL-BASTERRETXEA,25:17:56,24,Espagne,ES,,35-39,H
20051.karine.herry,Karine HERRY,25:22:20,25,France,FR,,35-39,F
77359.ondrej.gondas,Ondrej GONDAS,25:27:28,26,Slovaquie,SK,,50-54,H
77360.jeanpierre.ernzen,Jean-Pierre ERNZEN,25:29:03,27,Luxembourg,LU,,40-44,H
8295.laurent.tissot,Laurent TISSOT,25:32:53,28,France,FR,,35-39,H
20056.pillonel.etienne,Etienne PILLONEL (Pillonel ETIENNE),25:35:11,29,Suisse,CH,,20-34,H
41942.pierre.santucci,Pierre SANTUCCI,25:35:33,30,France,FR,,50-54,H
7838.ryan.baumann,Ryan BAUMANN,25:38:08,31,Suisse,CH,,20-34,H
9852.patrick.rey,Patrick REY,25:39:34,32,France,FR,,40-44,H
6282.bertrand.cochard,Bertrand COCHARD,25:39:50,33,France,FR,,20-34,H
21210.matteo.bertoli,Matteo BERTOLI,25:43:47,34,Italie,IT,,35-39,H
11496.patrick.leservoisier,Patrick LESERVOISIER,26:05:48,35,France,FR,,40-44,H
41520.simone.kayserdiederich,Simone KAYSER-DIEDERICH,26:05:58,36,Luxembourg,LU,,50-54,F
41519.marc.kayser,Marc KAYSER,26:05:59,37,Luxembourg,LU,,50-54,H
77361.jeanfrancois.faure,Jean-Francois FAURE,26:11:30,38,France,FR,,40-44,H
13104.christian.fatton,Christian FATTON,26:15:31,39,Suisse,CH,,45-49,H
77362.timothy.laney,Timothy LANEY,26:15:41,40,Royaume-Uni,GB,,45-49,H
77363.david.atkinson,David ATKINSON,26:28:07,41,Royaume-Uni,GB,,50-54,H
3796.topher.gaylord,Topher GAYLORD,26:29:59,42,Etats-Unis,US,,35-39,H
37672.stephane.lestrade,Stephane LESTRADE,26:35:27,43,France,FR,,35-39,H
7832.jeanmarc.zaugg,Jean-Marc ZAUGG,26:41:09,44,France,FR,,35-39,H
77364.jeanclaude.banfi,Jean-Claude BANFI,26:41:10,45,France,FR,,45-49,H
27888.bruno.durand,Bruno DURAND,26:42:35,46,France,FR,,40-44,H
8142.alain.benoitlizon,Alain BENOIT-LIZON,26:50:56,47,France,FR,,40-44,H
2707.jez.bragg,Jez BRAGG,26:50:59,48,Royaume-Uni,GB,,20-34,H
39188.marc.boissonnet,Marc BOISSONNET,26:51:48,49,France,FR,,45-49,H
41486.bruno.poirier,Bruno POIRIER,26:54:29,50,France,FR,,40-44,H
41856.jeanfrancois.hudry,Jean-Francois HUDRY,26:57:49,51,France,FR,,40-44,H
77365.herve.faivre,Herve FAIVRE,26:58:07,52,France,FR,,35-39,H
11658.werner.schweizer,Werner SCHWEIZER,26:58:10,53,Suisse,CH,,65-69,H
28631.joel.merker,Joel MERKER,26:58:42,54,France,FR,,35-39,H
62899.volker.fritsche,Volker FRITSCHE,27:05:12,55,Allemagne,DE,,40-44,H
11760.ulrich.calmbach,Ulrich CALMBACH,27:08:38,56,Allemagne,DE,,40-44,H
42788.pierre.burette,Pierre BURETTE,27:10:49,57,France,FR,,45-49,H
76415.stephan.pitscheider,Stephan PITSCHEIDER,27:17:33,58,Italie,IT,,45-49,H
77366.christian.chapeau,Christian CHAPEAU,27:19:12,59,France,FR,,35-39,H
27367.benoit.depreville,Benoit DE PREVILLE,27:22:20,60,France,FR,,20-34,H
28579.gilles.rubiloni,Gilles RUBILONI,27:35:55,61,France,FR,,40-44,H
77367.carlo.spreafico,Carlo SPREAFICO,27:36:10,62,Italie,IT,,40-44,H
44279.tor.almgren,Tor ALMGREN,27:40:12,63,Suède,SE,,40-44,H
13122.luismaria.ugarteazkarraga,Luis-Maria UGARTE-AZKARRAGA,27:40:27,64,Espagne,ES,,45-49,H
77368.mark.richards,Mark RICHARDS,27:45:06,65,Royaume-Uni,GB,,45-49,H
19889.pierreandre.maillard,Pierre-Andre MAILLARD,27:45:08,66,Suisse,CH,,45-49,H
77369.patricia.signoriobaldacchino,Patricia SIGNORIO-BALDACCHINO,27:45:51,67,France,FR,,40-44,F
41859.denis.bossonney,Denis BOSSONNEY,27:47:16,68,France,FR,,40-44,H
43733.valery.caussarieu,Valery CAUSSARIEU,27:48:08,69,France,FR,,35-39,H
39328.yves.masson,Yves MASSON,27:48:09,70,France,FR,,40-44,H
72561.jeanluc.doignon,Jean-Luc DOIGNON,27:48:09,71,France,FR,,50-54,H
12849.lionel.planes,Lionel PLANES,27:48:09,72,France,FR,,20-34,H
37636.lionel.eveno,Lionel EVENO,27:49:02,73,France,FR,,40-44,H
41393.pascal.vanderveken,Pascal VAN DER VEKEN,27:49:42,74,Belgique,BE,,40-44,H
77370.olivier.baillet,Olivier BAILLET,27:50:33,75,France,FR,,35-39,H
43695.sebastien.lesage,Sebastien LESAGE,28:01:18,76,France,FR,,20-34,H
77371.jeanclaude.canale,Jean-Claude CANALE,28:02:06,77,France,FR,,50-54,H
33310.alberto.motta,Alberto MOTTA,28:06:46,78,Italie,IT,,50-54,H
41379.serge.viassone,Serge VIASSONE,28:09:18,79,France,FR,,45-49,H
77372.reinhard.gallovits,Reinhard GALLOVITS,28:10:37,80,Autriche,AT,,35-39,H
7870.dominique.meynadier,Dominique MEYNADIER,28:12:23,81,France,FR,,40-44,H
19262.alessandro.crippa,Alessandro CRIPPA,28:19:31,82,Italie,IT,,35-39,H
1640593.arnaud.sindou,Arnaud SINDOU,28:23:22,83,France,FR,,35-39,H
41601.simone.musazzi,Simone MUSAZZI,28:32:24,84,Italie,IT,,35-39,H
10732.jeanluc.pigeault,Jean-Luc PIGEAULT,28:32:25,85,France,FR,,45-49,H
20478.daniel.glardon,Daniel GLARDON,28:35:50,86,Suisse,CH,,45-49,H
38676.philippe.gayet,Philippe GAYET,28:36:04,87,France,FR,,45-49,H
77373.cyril.carboni,Cyril CARBONI,28:39:53,88,France,FR,,20-34,H
33300.luc.desplanches,Luc DESPLANCHES,28:40:25,89,France,FR,,35-39,H
25235.laurent.schillinger,Laurent SCHILLINGER,28:40:59,90,France,FR,,40-44,H
76689.erwin.thur,Erwin THUR,28:45:14,91,Suisse,CH,,55-59,H
76936.christophe.roques,Christophe ROQUES,28:50:20,92,France,FR,,35-39,H
77374.laurent.grenet,Laurent GRENET,28:50:35,93,France,FR,,80+,H
77375.yann.fassel,Yann FASSEL,28:51:52,94,France,FR,,20-34,H
77376.ferran.roquefabrege,Ferran ROQUE-FABREGE,28:53:32,95,Espagne,ES,,80+,H
7227.jordi.armengaufernandez,Jordi ARMENGAU-FERNANDEZ,28:53:32,96,Espagne,ES,,80+,H
65300.gilbert.fournier,Gilbert FOURNIER,28:53:42,97,Suisse,CH,,35-39,H
28644.patrick.balizet,Patrick BALIZET,28:54:56,98,France,FR,,45-49,H
77378.julian.brown,Julian BROWN,29:04:33,99,Royaume-Uni,GB,,40-44,H
7843.franck.dechelette,Franck DECHELETTE,29:09:30,100,France,FR,,20-34,H
77379.robin.laurenzio,Robin LAURENZIO,29:13:41,101,France,FR,,40-44,H
7639.dominique.fabregues,Dominique FABREGUES,29:14:18,102,France,FR,,40-44,H
30448.james.linder,James LINDER,29:16:23,103,Suisse,CH,,45-49,H
76685.raymond.rebischung,Raymond REBISCHUNG,29:16:43,104,France,FR,,55-59,H
48540.ulrich.gross,Ulrich GROSS,29:16:51,105,Italie,IT,,20-34,H
4.thomas.saintgirons,Thomas SAINT GIRONS,29:18:20,106,France,FR,,20-34,H
27892.nicolas.drevon,Nicolas DREVON,29:20:26,107,France,FR,,20-34,H
77380.pascal.brasselet,Pascal BRASSELET,29:23:57,108,France,FR,,35-39,H
42859.remi.kuentzmann,Remi KUENTZMANN,29:29:27,109,France,FR,,45-49,H
21278.kartheeban.nagenthiraja,Kartheeban NAGENTHIRAJA,29:29:57,110,Danemark,DK,,20-34,H
40229.philippe.lopez,Philippe LOPEZ,29:38:39,111,France,FR,,40-44,H
11456.jerome.challier,Jerome CHALLIER,29:41:16,112,France,FR,,35-39,H
8681.christophe.dieval,Christophe DIEVAL,29:44:07,113,France,FR,,40-44,H
20005.martin.wagen,Martin WAGEN,29:44:07,114,Suisse,CH,,35-39,H
42274.jeanluc.richeux,Jean-Luc RICHEUX,29:46:14,115,France,FR,,45-49,H
48818.silvio.bertone,Silvio BERTONE,29:46:15,116,Italie,IT,,35-39,H
77381.kristijan.sivak,Kristijan SIVAK,29:46:54,117,Croatie,HR,,35-39,H
77382.machiel.ittmann,Machiel ITTMANN,29:47:03,118,Pays-Bas,NL,,35-39,H
77383.sigi.unterweger,Sigi UNTERWEGER,30:00:17,119,Autriche,AT,,40-44,H
77384.lionel.henneman,Lionel HENNEMAN,30:00:48,120,France,FR,,20-34,H
27084.frederic.simon,Frederic SIMON,30:00:50,121,France,FR,,35-39,H
41867.didier.delemontez,Didier DELEMONTEZ,30:01:45,122,France,FR,,45-49,H
77385.pierre.griscelli,Pierre GRISCELLI,30:02:50,123,France,FR,,50-54,H
41612.etienne.fert,Etienne FERT,30:02:50,124,France,FR,,40-44,H
77386.claramina.jargy,Clara-Mina JARGY,30:03:31,125,France,FR,,50-54,F
43442.eric.fabre,Eric FABRE,30:03:47,126,France,FR,,40-44,H
23932.thierry.chambry,Thierry CHAMBRY,30:08:21,127,France,FR,,35-39,H
21110.stefano.puiati,Stefano PUIATI,30:08:21,128,Italie,IT,,40-44,H
30484.claudio.cheraz,Claudio CHERAZ,30:08:21,129,Italie,IT,,40-44,H
41771.michel.mahe,Michel MAHE,30:09:28,130,France,FR,,50-54,H
8267.christian.demont,Christian DEMONT,30:09:44,131,France,FR,,40-44,H
8266.robert.point,Robert POINT,30:10:21,132,France,FR,,40-44,H
32931.virginie.thevenot,Virginie THEVENOT,30:25:07,133,France,FR,,40-44,F
26511.emmanuel.jezo,Emmanuel JEZO,30:26:59,134,France,FR,,35-39,H
10417.pierremichel.oggier,Pierre-Michel OGGIER,30:28:11,135,Suisse,CH,,40-44,H
24250.emmanuel.breuil,Emmanuel BREUIL,30:30:25,136,France,FR,,35-39,H
126.philippe.treuil,Philippe TREUIL,30:30:41,137,France,FR,,45-49,H
30002.philippe.guillemain,Philippe GUILLEMAIN,30:30:43,138,France,FR,,45-49,H
41597.guy.pinet,Guy PINET,30:31:27,139,France,FR,,45-49,H
8321.laurent.nougier,Laurent NOUGIER,30:31:55,140,France,FR,,35-39,H
76957.daniel.bevillard,Daniel BEVILLARD,30:33:25,141,France,FR,,80+,H
77387.philippe.warembourg,Philippe WAREMBOURG,30:33:25,142,France,FR,,45-49,H
77388.yves.semet,Yves SEMET,30:34:47,143,France,FR,,80+,H
77389.erwan.lucas,Erwan LUCAS,30:36:07,144,France,FR,,35-39,H
6616.jeanphilippe.lanfranchi,Jean-Philippe LANFRANCHI,30:37:35,145,France,FR,,35-39,H
77390.clement.dumont,Clement DUMONT,30:41:37,146,France,FR,,20-34,H
149261.oliver.beasse,Oliver BEASSE,30:43:44,147,France,FR,,20-34,H
77392.bruno.clement,Bruno CLEMENT,30:46:03,148,France,FR,,40-44,H
77393.cyril.chossat,Cyril CHOSSAT,30:49:27,149,France,FR,,40-44,H
7211.alexandre.hayetine,Alexandre HAYETINE,30:50:36,150,France,FR,,20-34,H
77394.ion.aizpeurrutiaalzelai,Ion AIZPEURRUTIA-ALZELAI,30:53:00,151,Espagne,ES,,80+,H
42666.christophe.betschen,Christophe BETSCHEN,30:54:04,152,France,FR,,40-44,H
37949.bran.hery,Bran HERY,30:54:19,153,France,FR,,35-39,H
76949.unai.gineaabasolo,Unai GINEA-ABASOLO,30:58:11,154,Espagne,ES,,80+,H
47581.francois.dauvergne,Francois DAUVERGNE,30:58:46,155,France,FR,,20-34,H
7896.freddy.tremolliere,Freddy TREMOLLIERE,30:59:15,156,France,FR,,45-49,H
77395.francesc.teres,Francesc TERES,31:02:51,157,Espagne,ES,,35-39,H
74758.ramon.comasbaroy,Ramon COMAS-BAROY,31:04:11,158,Espagne,ES,,45-49,H
42787.jeanmarc.dossot,Jean-Marc DOSSOT,31:04:37,159,France,FR,,45-49,H
8170.jeanmarc.pelbois,Jean-Marc PELBOIS,31:12:15,160,France,FR,,35-39,H
11470.aurelien.colin,Aurelien COLIN,31:21:22,161,France,FR,,20-34,H
76449.christophe.mathevet,Christophe MATHEVET,31:22:52,162,France,FR,,40-44,H
77396.philippe.garzon,Philippe GARZON,31:22:53,163,France,FR,,45-49,H
11646.laurent.vercueil,Laurent VERCUEIL,31:25:51,164,France,FR,,40-44,H
26561.demetrio.fernandez,Demetrio FERNANDEZ,31:25:51,165,France,FR,,40-44,H
24576.jeanpierre.mengel,Jean-Pierre MENGEL,31:32:37,166,France,FR,,35-39,H
10643.laurent.poirier,Laurent POIRIER,31:35:32,167,France,FR,,40-44,H
77397.serge.beauduin,Serge BEAUDUIN,31:39:46,168,France,FR,,40-44,H
76427.paul.blanchet,Paul BLANCHET,31:40:49,169,France,FR,,20-34,H
44704.baptiste.payen,Baptiste PAYEN,31:41:01,170,France,FR,,20-34,H
73803.jonathandavid.broome,Jonathan-David BROOME,31:41:12,171,Royaume-Uni,GB,,40-44,H
30039.bruno.mollaret,Bruno MOLLARET,31:41:50,172,France,FR,,45-49,H
77398.jeannoel.joussemet,Jean-Noel JOUSSEMET,31:52:20,173,France,FR,,80+,H
8700.gerard.blanc,Gerard BLANC,31:53:20,174,France,FR,,45-49,H
42521.luc.bouday,Luc BOUDAY,32:13:43,175,France,FR,,50-54,H
7665.jeanmichel.castin,Jean-Michel CASTIN,32:14:19,176,France,FR,,45-49,H
10277.pierre.ceaglio,Pierre CEAGLIO,32:14:19,177,France,FR,,20-34,H
8549.giovanni.baldini,Giovanni BALDINI,32:14:19,178,Italie,IT,,40-44,H
11580.stephane.clerc,Stephane CLERC,32:17:50,179,France,FR,,40-44,H
28133.bernard.evreux,Bernard EVREUX,32:17:50,180,France,FR,,45-49,H
77399.stephane.patalier,Stephane PATALIER,32:17:50,181,France,FR,,35-39,H
39194.stephane.cabot,Stephane CABOT,32:19:20,182,France,FR,,35-39,H
6044.christophe.harson,Christophe HARSON,32:19:20,183,France,FR,,45-49,H
77400.dominique.peretti,Dominique PERETTI,32:21:55,184,France,FR,,50-54,H
26678.pierre.seigneurin,Pierre SEIGNEURIN,32:22:02,185,France,FR,,45-49,H
19616.claudio.pizzagalli,Claudio PIZZAGALLI,32:23:11,186,Italie,IT,,35-39,H
48541.annemarie.gross,Annemarie GROSS,32:24:11,187,Italie,IT,,35-39,F
41430.christian.poisson,Christian POISSON,32:26:03,188,France,FR,,45-49,H
20189.michel.poletti,Michel POLETTI,32:28:15,189,France,FR,,50-54,H
76230.patrick.collomb,Patrick COLLOMB,32:28:15,190,France,FR,,50-54,H
11177.patrick.fellay,Patrick FELLAY,32:29:03,191,Suisse,CH,,40-44,H
7869.christophe.iliou,Christophe ILIOU,32:29:32,192,France,FR,,40-44,H
56664.paul.williere,Paul WILLIERE,32:29:56,193,Luxembourg,LU,,45-49,H
43770.nicolas.buys,Nicolas BUYS,32:33:01,194,France,FR,,20-34,H
24252.cedric.fontaine,Cedric FONTAINE,32:36:51,195,France,FR,,20-34,H
33474.magali.juvenal,Magali JUVENAL,32:36:51,196,France,FR,,35-39,F
76976.murdo.mcewan,Murdo MCEWAN,32:37:49,197,Royaume-Uni,GB,,50-54,H
41509.andre.boucard,Andre BOUCARD,32:41:24,198,France,FR,,50-54,H
8336.arnaud.coudray,Arnaud COUDRAY,32:43:05,199,France,FR,,20-34,H
34739.daniel.delerce,Daniel DELERCE,32:44:11,200,France,FR,,40-44,H
77401.laurent.martinie,Laurent MARTINIE,32:44:39,201,France,FR,,20-34,H
76952.jakobthyregod.rasmussen,Jakob-Thyregod RASMUSSEN,32:50:24,202,Danemark,DK,,80+,H
75953.gerald.gaborieau,Gerald GABORIEAU,32:50:57,203,Belgique,BE,,40-44,H
30006.eric.duforest,Eric DUFOREST,32:51:25,204,France,FR,,35-39,H
41627.pascal.caquet,Pascal CAQUET,32:58:46,205,France,FR,,45-49,H
39546.maurice.renault,Maurice RENAULT,32:59:49,206,France,FR,,45-49,H
76232.pierrick.lecomte,Pierrick LECOMTE,33:01:33,207,France,FR,,35-39,H
42263.jacques.gillaux,Jacques GILLAUX,33:03:26,208,Brésil,BR,,45-49,H
6992.sylvain.morinoros,Sylvain MORINO-ROS,33:06:09,209,France,FR,,45-49,H
41377.jerome.imbert,Jerome IMBERT,33:06:11,210,France,FR,,20-34,H
73666.yvonnick.simon,Yvonnick SIMON,33:06:38,211,France,FR,,35-39,H
12644.ignacio.sune,Ignacio SUNE,33:08:27,212,Espagne,ES,,35-39,H
306.didier.brouazin,Didier BROUAZIN,33:12:39,213,France,FR,,40-44,H
77098.daniel.remond,Daniel REMOND,33:13:41,214,France,FR,,80+,H
40274.pascal.neveux,Pascal NEVEUX,33:13:42,215,France,FR,,45-49,H
19985.daniel.wyrsch,Daniel WYRSCH,33:14:18,216,Suisse,CH,,40-44,H
77402.dominique.prevot,Dominique PREVOT,33:14:55,217,France,FR,,45-49,H
932.denis.bouteille,Denis BOUTEILLE,33:16:32,218,France,FR,,40-44,H
76985.nicolas.wach,Nicolas WACH,33:19:57,219,France,FR,,80+,H
48497.pierre.savary,Pierre SAVARY,33:21:10,220,Suisse,CH,,50-54,H
76938.maxime.dedours,Maxime DEDOURS,33:28:27,221,France,FR,,35-39,H
77157.pierre.gagniere,Pierre GAGNIERE,33:28:29,222,France,FR,,50-54,H
345.daniel.bouvier,Daniel BOUVIER,33:28:41,223,France,FR,,45-49,H
30700.emanuele.beretta,Emanuele BERETTA,33:29:16,224,Italie,IT,,35-39,H
75936.paul.maisonnier,Paul MAISONNIER,33:29:18,225,France,FR,,40-44,H
,Anonymous,33:30:13,226,Italie,IT,,45-49,H
7648.francois.falgayrat,Francois FALGAYRAT,33:30:15,227,France,FR,,35-39,H
77018.pascale.bouly,Pascale BOULY,33:32:42,228,France,FR,,40-44,F
6357.daniel.depaoli,Daniel DE-PAOLI,33:33:06,229,France,FR,,50-54,H
76803.boris.pouilly,Boris POUILLY,33:34:09,230,France,FR,,80+,H
42226.jacky.griebel,Jacky GRIEBEL,33:34:24,231,France,FR,,45-49,H
77403.jeanluc.leroy,Jean-Luc LEROY,33:34:24,232,France,FR,,40-44,H
44188.bruno.hoellard,Bruno HOELLARD,33:36:41,233,France,FR,,45-49,H
77404.olivier.delecourt,Olivier DELECOURT,33:38:50,234,France,FR,,35-39,H
2481813.irina.malejonock,Irina MALEJONOCK,33:39:03,235,France,FR,,20-34,F
41392.dominique.szymanski,Dominique SZYMANSKI,33:39:55,236,France,FR,,40-44,H
42996.patrick.jarret,Patrick JARRET,33:39:55,237,France,FR,,20-34,H
19309.gianluca.maggioni,Gianluca MAGGIONI,33:45:29,238,Italie,IT,,35-39,H
28180.patrick.gunsett,Patrick GUNSETT,33:47:38,239,France,FR,,45-49,H
37843.jean.barillot,Jean BARILLOT,33:47:41,240,France,FR,,35-39,H
77405.nicolas.desharbes,Nicolas DESHARBES,33:48:45,241,France,FR,,35-39,H
8501.armando.deazevedo,Armando DE AZEVEDO,33:49:13,242,France,FR,,20-34,H
77406.anne.brulefert,Anne BRULEFERT,33:49:13,243,France,FR,,35-39,F
48811.matthieu.poittevin,Matthieu POITTEVIN,33:50:29,244,France,FR,,20-34,H
77407.bernard.verondurand,Bernard VERON-DURAND,33:56:00,245,France,FR,,40-44,H
77408.pascal.guichard,Pascal GUICHARD,34:01:20,246,France,FR,,45-49,H
61829.lutzdietrich.schweizer,Lutz-Dietrich SCHWEIZER,34:01:21,247,Allemagne,DE,,45-49,H
27749.didier.guillemet,Didier GUILLEMET,34:01:23,248,France,FR,,35-39,H
6627.thierry.crussy,Thierry CRUSSY,34:02:04,249,France,FR,,40-44,H
33486.claude.cleseur,Claude CLESEUR,34:02:51,250,Belgique,BE,,55-59,H
77409.michel.crettex,Michel CRETTEX,34:06:51,251,Suisse,CH,,45-49,H
77410.emmanuel.rogue,Emmanuel ROGUE,34:06:57,252,France,FR,,35-39,H
20165.olivier.mayer,Olivier MAYER,34:09:58,253,France,FR,,35-39,H
40346.frederic.gendron,Frederic GENDRON,34:15:12,254,France,FR,,20-34,H
77411.stephane.verrecchia,Stephane VERRECCHIA,34:15:42,255,France,FR,,40-44,H
10750.andre.delorme,Andre DELORME,34:15:46,256,France,FR,,55-59,H
77412.erik.tourenne,Erik TOURENNE,34:15:50,257,France,FR,,45-49,H
10824.stephane.pfend,Stephane PFEND,34:20:55,258,France,FR,,20-34,H
77413.richard.ravaux,Richard RAVAUX,34:23:20,259,France,FR,,35-39,H
8414.jeanpaul.otmani,Jean-Paul OTMANI,34:30:14,260,France,FR,,40-44,H
77414.pascal.riviere,Pascal RIVIERE,34:39:34,261,France,FR,,45-49,H
76458.denis.ravier,Denis RAVIER,34:40:37,262,France,FR,,45-49,H
52238.amanda.calvert,Amanda CALVERT,34:41:42,263,Royaume-Uni,GB,,40-44,F
351.robert.charvin,Robert CHARVIN,34:41:43,264,France,FR,,55-59,H
5616815.motteli.hansueli,Mötteli HANSUELI,34:42:15,265,Suisse,CH,,40-44,H
77415.jeancharles.cordier,Jean-Charles CORDIER,34:42:44,266,France,FR,,45-49,H
44766.gerard.tarrajat,Gerard TARRAJAT,34:43:53,267,France,FR,,35-39,H
19917.josep.artigas,Josep ARTIGAS,34:44:34,268,Espagne,ES,,40-44,H
19058.martina.juda,Martina JUDA,34:45:39,269,République tchèque,CZ,,20-34,F
33386.olivier.tribondeau,Olivier TRIBONDEAU,34:51:24,270,France,FR,,40-44,H
77416.ralf.giersch,Ralf GIERSCH,34:52:02,271,Suisse,CH,,40-44,H
6723.christian.ravily,Christian RAVILY,34:57:51,272,France,FR,,45-49,H
77417.shakal.ryan,Shakal RYAN,34:57:52,273,Allemagne,DE,,40-44,H
77418.daniel.clark,Daniel CLARK,34:59:48,274,Royaume-Uni,GB,,45-49,H
77419.marco.zaffaroni,Marco ZAFFARONI,35:05:38,275,Italie,IT,,40-44,H
8526.marco.galletto,Marco GALLETTO,35:05:39,276,Italie,IT,,45-49,H
30463.lara.mustat,Lara MUSTAT,35:05:39,277,Italie,IT,,20-34,F
24601.philippe.bleu,Philippe BLEU,35:06:41,278,France,FR,,45-49,H
76824.sean.clifford,Sean CLIFFORD,35:07:46,279,Irlande,IE,,20-34,H
77420.christian.quintane,Christian QUINTANE,35:07:47,280,France,FR,,45-49,H
30367.marc.desbordes,Marc DESBORDES,35:07:48,281,France,FR,,40-44,H
76423.freddy.serveaux,Freddy SERVEAUX,35:08:30,282,France,FR,,20-34,H
77421.michel.rousseau,Michel ROUSSEAU,35:09:15,283,France,FR,,50-54,H
8561.didier.laridon,Didier LARIDON,35:09:37,284,France,FR,,40-44,H
41637.philippe.casas,Philippe CASAS,35:09:46,285,France,FR,,40-44,H
76967.pelayo.gonzalezalonso,Pelayo GONZALEZ-ALONSO,35:11:09,286,Espagne,ES,,80+,H
32291.paco.roblesadan,Paco ROBLES-ADAN,35:11:10,287,Espagne,ES,,40-44,H
